Year,League,Removed-Players,RP-Ranking,Original-Range,New-Ranking,New-Range,Original-Ranking
2012,NL,"('Braun', 'Soriano')","(2, 21)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Gonzalez')","(2, 22)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Prado')","(2, 23)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Stanton')","(2, 24)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Zimmerman')","(2, 25)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Hill')","(2, 26)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Beltran')","(2, 27)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Ruiz')","(2, 28)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Heyward')","(2, 29)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Harper')","(2, 30)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Cueto')","(2, 31)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Pence')","(2, 32)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Montero')","(2, 33)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Pagan')","(2, 34)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
2012,NL,"('Braun', 'Jones')","(2, 35)","('McCutchen', 'Molina', 'Headley', 'LaRoche', 'Wright')","(2, 3, 4, 6, 5)","('McCutchen', 'Molina', 'Headley', 'Wright', 'LaRoche')","(3, 4, 5, 7, 6)"
