Season,Week,Official Borda,Borda-Top1,Borda-Top3,Borda-Top5,Borda-Top10,Dowdall
2015,5,"ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, ole-miss-rebels, michigan-state-spartans, utah-utes, georgia-bulldogs","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels, tcu-horned-frogs, utah-utes","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels, tcu-horned-frogs, baylor-bears","ohio-state-buckeyes, michigan-state-spartans, ole-miss-rebels, tcu-horned-frogs, baylor-bears"
2015,6,"ohio-state-buckeyes, tcu-horned-frogs, baylor-bears, michigan-state-spartans, utah-utes","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, texas-am-aggies","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears, utah-utes, michigan-state-spartans","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears, michigan-state-spartans, utah-utes","ohio-state-buckeyes, tcu-horned-frogs, baylor-bears, michigan-state-spartans, utah-utes","ohio-state-buckeyes, baylor-bears, tcu-horned-frogs, utah-utes, michigan-state-spartans"
2015,7,"ohio-state-buckeyes, baylor-bears, tcu-horned-frogs, utah-utes, clemson-tigers","ohio-state-buckeyes, utah-utes, baylor-bears, tcu-horned-frogs, clemson-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, clemson-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, clemson-tigers","ohio-state-buckeyes, baylor-bears, tcu-horned-frogs, utah-utes, clemson-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, clemson-tigers"
2015,8,"ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, lsu-tigers","ohio-state-buckeyes, utah-utes, baylor-bears, tcu-horned-frogs, clemson-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, lsu-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, lsu-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, lsu-tigers","ohio-state-buckeyes, baylor-bears, utah-utes, tcu-horned-frogs, lsu-tigers"
2015,9,"ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs"
2015,10,"ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs","ohio-state-buckeyes, baylor-bears, clemson-tigers, lsu-tigers, tcu-horned-frogs"
2015,11,"clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, baylor-bears, oklahoma-state-cowboys"
2015,12,"clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish","clemson-tigers, ohio-state-buckeyes, alabama-crimson-tide, oklahoma-state-cowboys, notre-dame-fighting-irish"
2015,13,"clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, notre-dame-fighting-irish, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, michigan-state-spartans, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, notre-dame-fighting-irish, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, notre-dame-fighting-irish, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, notre-dame-fighting-irish, oklahoma-sooners","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, notre-dame-fighting-irish, michigan-state-spartans"
2015,14,"clemson-tigers, alabama-crimson-tide, oklahoma-sooners, iowa-hawkeyes, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, iowa-hawkeyes, oklahoma-sooners, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, oklahoma-sooners, iowa-hawkeyes, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, oklahoma-sooners, iowa-hawkeyes, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, oklahoma-sooners, iowa-hawkeyes, michigan-state-spartans","clemson-tigers, alabama-crimson-tide, oklahoma-sooners, iowa-hawkeyes, michigan-state-spartans"
