garland-gillen,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,auburn-tigers,florida-gators,michigan-wolverines,notre-dame-fighting-irish,penn-state-nittany-lions,wisconsin-badgers,iowa-hawkeyes,texas-longhorns,utah-utes,ucf-knights,mississippi-state-bulldogs,texas-am-aggies,oregon-ducks,michigan-state-spartans,washington-state-cougars,maryland-terrapins,colorado-buffaloes,boise-state-broncos,washington-huskies
gary-horowitz,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,notre-dame-fighting-irish,auburn-tigers,florida-gators,penn-state-nittany-lions,michigan-wolverines,utah-utes,texas-longhorns,ucf-knights,oregon-ducks,wisconsin-badgers,texas-am-aggies,boise-state-broncos,iowa-hawkeyes,michigan-state-spartans,maryland-terrapins,usc-trojans,washington-state-cougars,mississippi-state-bulldogs,army-west-point-black-knights
gene-henley,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,oklahoma-sooners,georgia-bulldogs,ohio-state-buckeyes,notre-dame-fighting-irish,michigan-wolverines,auburn-tigers,florida-gators,texas-longhorns,utah-utes,penn-state-nittany-lions,wisconsin-badgers,washington-huskies,oregon-ducks,ucf-knights,maryland-terrapins,michigan-state-spartans,iowa-hawkeyes,washington-state-cougars,boise-state-broncos,virginia-cavaliers,iowa-state-cyclones,mississippi-state-bulldogs
james-kratch,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,georgia-bulldogs,oklahoma-sooners,ohio-state-buckeyes,florida-gators,michigan-wolverines,texas-longhorns,auburn-tigers,oregon-ducks,texas-am-aggies,utah-utes,michigan-state-spartans,notre-dame-fighting-irish,ucf-knights,iowa-hawkeyes,wisconsin-badgers,penn-state-nittany-lions,iowa-state-cyclones,boise-state-broncos,washington-state-cougars,army-west-point-black-knights,california-golden-bears,washington-huskies
jerry-dipaola,2019,3,clemson-tigers,alabama-crimson-tide,lsu-tigers,ohio-state-buckeyes,georgia-bulldogs,oklahoma-sooners,florida-gators,auburn-tigers,notre-dame-fighting-irish,utah-utes,michigan-wolverines,wisconsin-badgers,penn-state-nittany-lions,oregon-ducks,iowa-hawkeyes,texas-am-aggies,texas-longhorns,ucf-knights,washington-state-cougars,michigan-state-spartans,usc-trojans,maryland-terrapins,mississippi-state-bulldogs,california-golden-bears,washington-huskies
jim-holder,2019,3,clemson-tigers,alabama-crimson-tide,oklahoma-sooners,ohio-state-buckeyes,georgia-bulldogs,lsu-tigers,michigan-wolverines,florida-gators,notre-dame-fighting-irish,utah-utes,auburn-tigers,tcu-horned-frogs,michigan-state-spartans,penn-state-nittany-lions,texas-longhorns,iowa-hawkeyes,oregon-ducks,wisconsin-badgers,ucf-knights,mississippi-state-bulldogs,iowa-state-cyclones,texas-am-aggies,washington-state-cougars,maryland-terrapins,boise-state-broncos
jim-polzin,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,notre-dame-fighting-irish,michigan-wolverines,florida-gators,auburn-tigers,utah-utes,texas-am-aggies,ucf-knights,oregon-ducks,texas-longhorns,wisconsin-badgers,penn-state-nittany-lions,michigan-state-spartans,washington-state-cougars,iowa-hawkeyes,tcu-horned-frogs,iowa-state-cyclones,california-golden-bears,maryland-terrapins,usc-trojans
joe-dubin,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,lsu-tigers,oklahoma-sooners,ohio-state-buckeyes,michigan-wolverines,notre-dame-fighting-irish,auburn-tigers,florida-gators,utah-utes,penn-state-nittany-lions,wisconsin-badgers,ucf-knights,michigan-state-spartans,texas-am-aggies,texas-longhorns,oregon-ducks,iowa-hawkeyes,maryland-terrapins,washington-state-cougars,iowa-state-cyclones,usc-trojans,california-golden-bears,colorado-buffaloes
john-bednarowski,2019,3,clemson-tigers,alabama-crimson-tide,georgia-bulldogs,ohio-state-buckeyes,oklahoma-sooners,lsu-tigers,notre-dame-fighting-irish,auburn-tigers,florida-gators,michigan-wolverines,wisconsin-badgers,texas-longhorns,penn-state-nittany-lions,texas-am-aggies,ucf-knights,michigan-state-spartans,utah-utes,washington-state-cougars,oregon-ducks,tcu-horned-frogs,boise-state-broncos,iowa-hawkeyes,army-west-point-black-knights,colorado-buffaloes,north-carolina-tar-heels
john-clay,2019,3,alabama-crimson-tide,clemson-tigers,georgia-bulldogs,oklahoma-sooners,lsu-tigers,ohio-state-buckeyes,michigan-wolverines,florida-gators,notre-dame-fighting-irish,auburn-tigers,utah-utes,texas-longhorns,iowa-hawkeyes,texas-am-aggies,michigan-state-spartans,penn-state-nittany-lions,oregon-ducks,wisconsin-badgers,washington-state-cougars,ucf-knights,usc-trojans,boise-state-broncos,maryland-terrapins,tcu-horned-frogs,iowa-state-cyclones
