Year,League,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2015,AL,"Bautista, Kiermaier, Martinez",(Bautista Kiermaier),0,1,(Kiermaier Martinez),0,1,(Martinez Bautista),0,3
2015,AL,"Cabrera, Cruz, Fielder",(Cabrera Cruz),3,7,(Cruz Fielder),3,4,(Fielder Cabrera),1,2
2015,AL,"Cabrera, Cruz, Price",(Cabrera Cruz),3,7,(Cruz Price),4,7,(Price Cabrera),1,2
2015,AL,"Cabrera, DavisC, Price",(Cabrera DavisC),1,3,(DavisC Price),0,4,(Price Cabrera),1,2
2015,AL,"Cabrera, Encarnacion, Fielder",(Cabrera Encarnacion),1,2,(Encarnacion Fielder),1,3,(Fielder Cabrera),1,2
2015,AL,"Cabrera, Kipnis, Price",(Cabrera Kipnis),0,1,(Kipnis Price),0,1,(Price Cabrera),1,2
2015,AL,"Encarnacion, Fielder, Moustakas",(Encarnacion Fielder),1,3,(Fielder Moustakas),0,1,(Moustakas Encarnacion),0,1
2015,NL,"Arenado, Arrieta, Cole",(Arenado Arrieta),9,7,(Arrieta Cole),1,0,(Cole Arenado),1,0
2015,NL,"Arenado, Arrieta, Greinke",(Arenado Arrieta),9,7,(Arrieta Greinke),14,8,(Greinke Arenado),9,7
2015,NL,"Arenado, Arrieta, Heyward",(Arenado Arrieta),9,7,(Arrieta Heyward),3,1,(Heyward Arenado),2,0
2015,NL,"Arenado, Carpenter, Cole",(Arenado Carpenter),8,2,(Carpenter Cole),1,0,(Cole Arenado),1,0
2015,NL,"Arenado, Cole, Posey",(Arenado Cole),0,1,(Cole Posey),0,1,(Posey Arenado),5,10
2015,NL,"Arenado, Heyward, McCutchen",(Arenado Heyward),0,2,(Heyward McCutchen),0,5,(McCutchen Arenado),8,9
2015,NL,"Arenado, Heyward, Pollock",(Arenado Heyward),0,2,(Heyward Pollock),1,2,(Pollock Arenado),0,7
2015,NL,"Arenado, Heyward, Posey",(Arenado Heyward),0,2,(Heyward Posey),1,3,(Posey Arenado),5,10
2015,NL,"Arenado, Rosenthal, Votto",(Arenado Rosenthal),1,0,(Rosenthal Votto),1,0,(Votto Arenado),11,8
2015,NL,"Arrieta, Greinke, McCutchen",(Arrieta Greinke),14,8,(Greinke McCutchen),11,10,(McCutchen Arrieta),13,9
2015,NL,"Arrieta, Kershaw, McCutchen",(Arrieta Kershaw),11,1,(Kershaw McCutchen),6,5,(McCutchen Arrieta),13,9
2015,NL,"Bryant, Kershaw, McCutchen",(Bryant Kershaw),3,1,(Kershaw McCutchen),6,5,(McCutchen Bryant),4,3
2015,NL,"Bryant, Kershaw, Posey",(Bryant Kershaw),3,1,(Kershaw Posey),7,4,(Posey Bryant),5,3
2015,NL,"Carpenter, Cole, Greinke",(Carpenter Cole),1,0,(Cole Greinke),1,0,(Greinke Carpenter),8,1
2015,NL,"Cole, Greinke, Posey",(Cole Greinke),1,0,(Greinke Posey),15,5,(Posey Cole),1,0
2015,NL,"McCutchen, Rosenthal, Votto",(McCutchen Rosenthal),1,0,(Rosenthal Votto),1,0,(Votto McCutchen),19,7
2015,NL,"Rizzo, Rosenthal, Votto",(Rizzo Rosenthal),1,0,(Rosenthal Votto),1,0,(Votto Rizzo),15,10
2016,AL,"Beltre, Cabrera, Ramirez",(Beltre Cabrera),16,3,(Cabrera Ramirez),1,0,(Ramirez Beltre),1,0
2016,AL,"Beltre, Dozier, Ramirez",(Beltre Dozier),3,1,(Dozier Ramirez),1,0,(Ramirez Beltre),1,0
2016,AL,"Beltre, Machado, Ramirez",(Beltre Machado),14,12,(Machado Ramirez),1,0,(Ramirez Beltre),1,0
2016,AL,"Britton, Lindor, Seager",(Britton Lindor),1,2,(Lindor Seager),1,2,(Seager Britton),0,1
2016,AL,"Cabrera, Cano, Lindor",(Cabrera Cano),9,8,(Cano Lindor),9,7,(Lindor Cabrera),6,5
2016,AL,"Cabrera, Cruz, Machado",(Cabrera Cruz),2,1,(Cruz Machado),2,1,(Machado Cabrera),17,3
2016,AL,"Cano, Cruz, Lindor",(Cano Cruz),0,2,(Cruz Lindor),0,1,(Lindor Cano),7,9
2016,AL,"Cruz, Lindor, Machado",(Cruz Lindor),0,1,(Lindor Machado),3,17,(Machado Cruz),1,2
2016,AL,"Cruz, Machado, Ortiz",(Cruz Machado),2,1,(Machado Ortiz),18,12,(Ortiz Cruz),3,0
2016,NL,"Bumgarner, Familia, Votto",(Bumgarner Familia),1,0,(Familia Votto),1,0,(Votto Bumgarner),1,0
2016,NL,"Bumgarner, Segura, Turner",(Bumgarner Segura),0,1,(Segura Turner),0,5,(Turner Bumgarner),0,1
2016,NL,"Cespedes, Crawford, Turner",(Cespedes Crawford),0,1,(Crawford Turner),0,2,(Turner Cespedes),2,5
2016,NL,"Cespedes, Familia, Votto",(Cespedes Familia),1,0,(Familia Votto),1,0,(Votto Cespedes),9,5
2016,NL,"Crawford, Scherzer, Syndergaard",(Crawford Scherzer),1,0,(Scherzer Syndergaard),1,0,(Syndergaard Crawford),1,0
2016,NL,"Crawford, Segura, Syndergaard",(Crawford Segura),1,0,(Segura Syndergaard),1,0,(Syndergaard Crawford),1,0
2016,NL,"Freeman, Posey, Turner",(Freeman Posey),1,2,(Posey Turner),0,1,(Turner Freeman),5,8
2016,NL,"Segura, Syndergaard, Turner",(Segura Syndergaard),1,0,(Syndergaard Turner),1,0,(Turner Segura),5,0
2017,AL,"Betts, Encarnacion, Trout",(Betts Encarnacion),1,0,(Encarnacion Trout),1,0,(Trout Betts),21,3
2017,AL,"Buxton, Simmons, Upton",(Buxton Simmons),1,2,(Simmons Upton),1,2,(Upton Buxton),0,1
2017,AL,"Cruz, Encarnacion, Trout",(Cruz Encarnacion),1,0,(Encarnacion Trout),1,0,(Trout Cruz),14,1
