Season,Week,Official Borda Teams,Borda-Top1 Teams,Borda-Top1 Rankings,Borda-Top3 Teams,Borda-Top3 Rankings,Borda-Top5 Teams,Borda-Top5 Rankings,Borda-Top10 Teams,Borda-Top10 Rankings,Dowdall Teams,Dowdall Rankings
2016,7,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, clemson-tigers, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,8,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, michigan-wolverines, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3"
2016,9,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,10,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,11,"alabama-crimson-tide, michigan-wolverines, clemson-tigers","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3","alabama-crimson-tide, michigan-wolverines, clemson-tigers","1, 2, 3"
2016,12,"alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, louisville-cardinals","1, 2, 3"
2016,13,"alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 4","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, michigan-wolverines","1, 2, 3"
2016,14,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,15,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2016,16,"clemson-tigers, alabama-crimson-tide, usc-trojans","clemson-tigers, alabama-crimson-tide, washington-huskies","1, 2, 4","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3","clemson-tigers, alabama-crimson-tide, usc-trojans","1, 2, 3"
2017,1,"alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","alabama-crimson-tide, florida-state-seminoles, ohio-state-buckeyes","1, 3, 2","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, florida-state-seminoles","1, 2, 3"
2017,2,"alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","alabama-crimson-tide, ohio-state-buckeyes, usc-trojans","1, 2, 6","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3","alabama-crimson-tide, ohio-state-buckeyes, clemson-tigers","1, 2, 3"
2017,3,"alabama-crimson-tide, oklahoma-sooners, clemson-tigers","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3","alabama-crimson-tide, oklahoma-sooners, clemson-tigers","1, 2, 3"
2017,4,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2017,5,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2017,6,"alabama-crimson-tide, clemson-tigers, oklahoma-sooners","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3","alabama-crimson-tide, clemson-tigers, oklahoma-sooners","1, 2, 3"
2017,7,"alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","1, 2, 3","alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","1, 2, 3","alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","1, 2, 3","alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","1, 2, 3","alabama-crimson-tide, clemson-tigers, penn-state-nittany-lions","1, 2, 3"
2017,8,"alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3"
2017,9,"alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3","alabama-crimson-tide, penn-state-nittany-lions, georgia-bulldogs","1, 2, 3"
2017,10,"alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","alabama-crimson-tide, georgia-bulldogs, wisconsin-badgers","1, 2, 4","alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, ohio-state-buckeyes","1, 2, 3"
2017,11,"alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","alabama-crimson-tide, georgia-bulldogs, wisconsin-badgers","1, 2, 6","alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","1, 2, 3","alabama-crimson-tide, georgia-bulldogs, notre-dame-fighting-irish","1, 2, 3"
