Season,Week,Combo,ab,ab-a,ab-b,bc,bc-b,bc-c,ca,ca-c,ca-a
2020,10,"cincinnati-bearcats, florida-gators, texas-am-aggies","(cincinnati-bearcats, florida-gators)",26,36,"(florida-gators, texas-am-aggies)",15,47,"(texas-am-aggies, cincinnati-bearcats)",29,33
2020,17,"coastal-carolina-chanticleers, iowa-hawkeyes, liberty-flames","(coastal-carolina-chanticleers, iowa-hawkeyes)",42,19,"(iowa-hawkeyes, liberty-flames)",34,27,"(liberty-flames, coastal-carolina-chanticleers)",35,26
2020,17,"coastal-carolina-chanticleers, liberty-flames, louisiana-lafayette-ragin-cajuns","(coastal-carolina-chanticleers, liberty-flames)",26,35,"(liberty-flames, louisiana-lafayette-ragin-cajuns)",24,37,"(louisiana-lafayette-ragin-cajuns, coastal-carolina-chanticleers)",14,47
2021,1,"arizona-state-sun-devils, ole-miss-rebels, utah-utes","(arizona-state-sun-devils, ole-miss-rebels)",25,24,"(ole-miss-rebels, utah-utes)",26,22,"(utah-utes, arizona-state-sun-devils)",21,20
2021,1,"cincinnati-bearcats, north-carolina-tar-heels, notre-dame-fighting-irish","(cincinnati-bearcats, north-carolina-tar-heels)",36,27,"(north-carolina-tar-heels, notre-dame-fighting-irish)",33,30,"(notre-dame-fighting-irish, cincinnati-bearcats)",33,30
2021,1,"north-carolina-tar-heels, notre-dame-fighting-irish, oregon-ducks","(north-carolina-tar-heels, notre-dame-fighting-irish)",33,30,"(notre-dame-fighting-irish, oregon-ducks)",33,30,"(oregon-ducks, north-carolina-tar-heels)",32,31
2021,2,"coastal-carolina-chanticleers, ole-miss-rebels, utah-utes","(coastal-carolina-chanticleers, ole-miss-rebels)",30,32,"(ole-miss-rebels, utah-utes)",30,31,"(utah-utes, coastal-carolina-chanticleers)",22,41
2021,2,"coastal-carolina-chanticleers, ole-miss-rebels, wisconsin-badgers","(coastal-carolina-chanticleers, ole-miss-rebels)",30,32,"(ole-miss-rebels, wisconsin-badgers)",28,33,"(wisconsin-badgers, coastal-carolina-chanticleers)",31,32
2021,2,"coastal-carolina-chanticleers, virginia-tech-hokies, wisconsin-badgers","(coastal-carolina-chanticleers, virginia-tech-hokies)",29,33,"(virginia-tech-hokies, wisconsin-badgers)",30,33,"(wisconsin-badgers, coastal-carolina-chanticleers)",31,32
2021,2,"florida-gators, oregon-ducks, penn-state-nittany-lions","(florida-gators, oregon-ducks)",22,41,"(oregon-ducks, penn-state-nittany-lions)",30,33,"(penn-state-nittany-lions, florida-gators)",29,34
2021,6,"arizona-state-sun-devils, north-carolina-state-wolfpack, texas-longhorns","(arizona-state-sun-devils, north-carolina-state-wolfpack)",32,30,"(north-carolina-state-wolfpack, texas-longhorns)",31,30,"(texas-longhorns, arizona-state-sun-devils)",31,29
2021,6,"florida-gators, north-carolina-state-wolfpack, texas-longhorns","(florida-gators, north-carolina-state-wolfpack)",37,25,"(north-carolina-state-wolfpack, texas-longhorns)",31,30,"(texas-longhorns, florida-gators)",32,30
2021,8,"coastal-carolina-chanticleers, kentucky-wildcats, notre-dame-fighting-irish","(coastal-carolina-chanticleers, kentucky-wildcats)",33,30,"(kentucky-wildcats, notre-dame-fighting-irish)",32,31,"(notre-dame-fighting-irish, coastal-carolina-chanticleers)",38,25
2021,8,"iowa-hawkeyes, michigan-state-spartans, penn-state-nittany-lions","(iowa-hawkeyes, michigan-state-spartans)",27,36,"(michigan-state-spartans, penn-state-nittany-lions)",24,39,"(penn-state-nittany-lions, iowa-hawkeyes)",25,38
2021,8,"iowa-hawkeyes, oklahoma-state-cowboys, penn-state-nittany-lions","(iowa-hawkeyes, oklahoma-state-cowboys)",24,39,"(oklahoma-state-cowboys, penn-state-nittany-lions)",26,37,"(penn-state-nittany-lions, iowa-hawkeyes)",25,38
2021,11,"auburn-tigers, houston-cougars, iowa-hawkeyes","(auburn-tigers, houston-cougars)",27,36,"(houston-cougars, iowa-hawkeyes)",29,34,"(iowa-hawkeyes, auburn-tigers)",31,32
2021,11,"baylor-bears, houston-cougars, iowa-hawkeyes","(baylor-bears, houston-cougars)",27,36,"(houston-cougars, iowa-hawkeyes)",29,34,"(iowa-hawkeyes, baylor-bears)",27,36
2021,11,"coastal-carolina-chanticleers, north-carolina-state-wolfpack, wisconsin-badgers","(coastal-carolina-chanticleers, north-carolina-state-wolfpack)",33,28,"(north-carolina-state-wolfpack, wisconsin-badgers)",33,28,"(wisconsin-badgers, coastal-carolina-chanticleers)",33,27
2021,13,"houston-cougars, iowa-hawkeyes, wisconsin-badgers","(houston-cougars, iowa-hawkeyes)",30,32,"(iowa-hawkeyes, wisconsin-badgers)",28,34,"(wisconsin-badgers, houston-cougars)",26,36
2021,13,"iowa-hawkeyes, utah-utes, wisconsin-badgers","(iowa-hawkeyes, utah-utes)",32,30,"(utah-utes, wisconsin-badgers)",38,24,"(wisconsin-badgers, iowa-hawkeyes)",34,28
2021,15,"clemson-tigers, north-carolina-state-wolfpack, wake-forest-demon-deacons","(clemson-tigers, north-carolina-state-wolfpack)",18,44,"(north-carolina-state-wolfpack, wake-forest-demon-deacons)",22,40,"(wake-forest-demon-deacons, clemson-tigers)",29,33
2021,15,"houston-cougars, north-carolina-state-wolfpack, wake-forest-demon-deacons","(houston-cougars, north-carolina-state-wolfpack)",30,32,"(north-carolina-state-wolfpack, wake-forest-demon-deacons)",22,40,"(wake-forest-demon-deacons, houston-cougars)",30,32
2022,1,"arkansas-razorbacks, cincinnati-bearcats, houston-cougars","(arkansas-razorbacks, cincinnati-bearcats)",35,22,"(cincinnati-bearcats, houston-cougars)",30,28,"(houston-cougars, arkansas-razorbacks)",30,27
2022,1,"arkansas-razorbacks, houston-cougars, kentucky-wildcats","(arkansas-razorbacks, houston-cougars)",27,30,"(houston-cougars, kentucky-wildcats)",23,35,"(kentucky-wildcats, arkansas-razorbacks)",28,32
2022,1,"arkansas-razorbacks, houston-cougars, ole-miss-rebels","(arkansas-razorbacks, houston-cougars)",27,30,"(houston-cougars, ole-miss-rebels)",25,33,"(ole-miss-rebels, arkansas-razorbacks)",26,33
2022,1,"arkansas-razorbacks, houston-cougars, wake-forest-demon-deacons","(arkansas-razorbacks, houston-cougars)",27,30,"(houston-cougars, wake-forest-demon-deacons)",25,29,"(wake-forest-demon-deacons, arkansas-razorbacks)",25,29
2022,2,"arkansas-razorbacks, miami-fl-hurricanes, michigan-state-spartans","(arkansas-razorbacks, miami-fl-hurricanes)",30,33,"(miami-fl-hurricanes, michigan-state-spartans)",30,32,"(michigan-state-spartans, arkansas-razorbacks)",30,33
2022,2,"byu-cougars, ole-miss-rebels, wake-forest-demon-deacons","(byu-cougars, ole-miss-rebels)",34,26,"(ole-miss-rebels, wake-forest-demon-deacons)",36,25,"(wake-forest-demon-deacons, byu-cougars)",33,27
2022,3,"arkansas-razorbacks, kentucky-wildcats, michigan-state-spartans","(arkansas-razorbacks, kentucky-wildcats)",26,37,"(kentucky-wildcats, michigan-state-spartans)",29,34,"(michigan-state-spartans, arkansas-razorbacks)",29,34
2022,3,"baylor-bears, florida-gators, utah-utes","(baylor-bears, florida-gators)",39,24,"(florida-gators, utah-utes)",32,30,"(utah-utes, baylor-bears)",42,21
2022,3,"florida-gators, north-carolina-state-wolfpack, utah-utes","(florida-gators, north-carolina-state-wolfpack)",22,41,"(north-carolina-state-wolfpack, utah-utes)",27,36,"(utah-utes, florida-gators)",30,32
2022,3,"florida-gators, tennessee-volunteers, utah-utes","(florida-gators, tennessee-volunteers)",19,44,"(tennessee-volunteers, utah-utes)",26,37,"(utah-utes, florida-gators)",30,32
